Summary,Issue Type,Epic Name,Description,Acceptance Criteria,Priority,Component,PR,Labels
FE: acknowledgement-dashboard drawer CSV export,Story,Epic F — Analytics that matter,"Lists users ack state filter export CSV dean only.","Large list pagination.",P1,Frontend,PR10,announcements analytics
Epic G — Calendar enrichment,Epic,,Roadmap: ics export reminder jobs chip to detail all-day midnight.,"Epic complete when: export works; reminders sent; UX polish on calendar page.",P1,Announcements,,announcements roadmap
BE: GET /announcements/calendar-deadlines.ics RFC5545,Story,Epic G — Calendar enrichment,"Auth visibility same as JSON endpoint; VEVENT per deadlineAt title url description.","Imports into Google Apple calendar. Correct TZ.",P1,Backend,PR9,announcements calendar
BE: CalendarReminderJob model and enqueue at deadline minus 24h and 1h,Story,Epic G — Calendar enrichment,"BullMQ delayed jobs or cron scan; emit in-app notification and push if prefs allow.","No duplicate reminders sent flag.",P1,Backend,PR9,announcements calendar
BE: All-day VEVENT when deadline at midnight,Story,Epic G — Calendar enrichment,"Define rule for all-day vs timed in iCal and API.","Document in API.",P1,Backend,PR9,announcements calendar
FE: Calendar chip click opens announcement detail sheet,Story,Epic G — Calendar enrichment,"Reuse detail content from feed or dedicated GET /:id minimal DTO.","Keyboard accessible.",P1,Frontend,PR10,announcements calendar
FE: Export to calendar button downloads ics,Story,Epic G — Calendar enrichment,"Fetch with credentials blob download filename campus-deadlines.ics.","Error toast on failure.",P1,Frontend,PR10,announcements calendar
FE: 24h reminder badge on calendar chips,Story,Epic G — Calendar enrichment,"Visual badge when deadline within 24h client-side from deadlineAt.","Respects user locale time.",P1,Frontend,PR10,announcements calendar
Epic H — Code health + accessibility,Epic,,Roadmap: remove dead components focus trap aria-live mobile expired badge copy.,"Epic complete when: unused components resolved; sheet a11y; mobile audit; expired author UX.",P2,Announcements,,announcements roadmap
FE: Delete or integrate audience-selector and post-card,Story,Epic H — Code health + accessibility,"Grep imports; merge any unique logic into CreateDialog then delete files; optional eslint rule no-unused-modules.","CI green no broken imports.",P2,Frontend,PR12,announcements tech-debt
FE: CreateDialog focus trap role dialog aria-live steps,Story,Epic H — Code health + accessibility,"Radix Dialog or Sheet props; focus return on close; announce step changes.","axe-core critical issues zero on dialog.",P2,Frontend,PR12,announcements a11y
FE: AnnouncementCard expired badge for author when expiresAt past,Story,Epic H — Code health + accessibility,"Gray Expired badge tooltip explains visibility; countdown Expires in X days when applicable.","Does not show misleading badge to general readers if hidden.",P2,Frontend,PR12,announcements ux
FE: 375px viewport audit announcements pages,Story,Epic H — Code health + accessibility,"Feed filters sheet calendar no horizontal scroll breaking tap targets 44px min where possible.","Screenshot checklist attached to ticket.",P2,Frontend,PR12,announcements mobile
Cross-cutting BE: Expiry cron fallback when Redis off,Story,Cross-cutting,"setInterval 5min query expiresAt lte now status PUBLISHED isActive true flip expire emit announcement expired.","Logs count configurable interval env.",P0,Backend,PR5,announcements reliability
Cross-cutting BE: Wire digest worker email provider,Story,Cross-cutting,"Replace stub in announcementBullmq digest worker with Resend SMTP or SendGrid HTML template unread summary link.","User digestPreference respected when User model extended PR1.",P1,Backend,PR9,announcements email
Cross-cutting BE: Extend AnnouncementAudit coverage GET audit,Story,Cross-cutting,"Ensure CREATE PUBLISH SCHEDULE EDIT DELETE PIN EXPIRE ACK actions logged use existing AnnouncementAudit table avoid duplicate model.","GET /:id/audit returns rows for authorized roles.",P2,Backend,PR11,announcements compliance
